# RTV-0 runtime database inventory. Read-only inspection; no schema or data changes.
# latest_observed_timestamp is the maximum selected candidate timestamp per table; blank means none observed.
table_name,observed_row_count,latest_observed_timestamp,authority_class,apparent_writer,apparent_reader,rtv0_note
"session_archives","9","2026-07-28 14:07:09.790661+00","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"signal_ai_metrics","0","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"signal_daily_reports","0","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"signal_lifecycle_events","0","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"signal_preopen_metrics","0","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"signal_price_checkpoints","0","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"signal_regime_metrics","0","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"signal_risk_metrics","0","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"signal_snapshots","863","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"signal_strategy_metrics","0","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"signal_validation_records","0","","SCHEDULED_VALIDATION_AUDIT","preopen or validation scheduler","preopen and validation UI","Observed in development runtime public schema"
"signal_validation_sessions","18","2026-08-21 09:56:54.56391+00","SCHEDULED_VALIDATION_AUDIT","preopen or validation scheduler","preopen and validation UI","Observed in development runtime public schema"
"signals_cache","5","2026-08-21 18:20:56.483+00","DERIVED_CACHE_ANALYTICS","derived cache writer","dashboard copilot analytics","Observed in development runtime public schema"
"validation_v2_decisions","1225","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"validation_v2_missed","664","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"validation_v2_optimizer_runs","26","2026-08-18 19:50:13.418138+00","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"validation_v2_runs","1","2026-08-10 19:17:43.615472+00","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"validation_v2_trades","0","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
