# INTRADAY_PAGE_DATA_LINEAGE.csv
# Provenance / Methodology
# --------------------------
# All rows derived exclusively from direct inspection of the following source files:
#   Web routes  : artifacts/trading-dashboard/src/App.tsx   (119 named <Route path=...> entries plus conditional /advisory = 120 total as per task spec)
#   Mobile tabs : artifacts/trading-mobile/app/(tabs)/_layout.tsx  (7 NativeTabs.Trigger / Tabs.Screen: index, health, signals, watchlist, positions, alerts, ai-ops)
#   Key page impls: artifacts/trading-dashboard/src/pages/{Dashboard,Signals,Trades,Watchlist,LiveDataHealth,BrokerExecution,RiskManagement,PortfolioLive,KiteConnect,AIPaperTraderPage,AiDecision,Notifications,Settings}.tsx
#   Mobile impls: artifacts/trading-mobile/app/(tabs)/{index,health,signals,watchlist,positions,alerts,ai-ops}.tsx
#   Mobile hooks: artifacts/trading-mobile/lib/monitorApi.ts
#   API routes  : artifacts/api-server/src/routes/{trading,portfolio,health,kite,notifications}.ts and routes/index.ts
#   Python layer: artifacts/api-server/src/python/{main.py,canonical_portfolio.py,phase20_executor.py,signals_store.py,phase20_store.py}
# Fields marked UNKNOWN are those whose exact lineage could not be confirmed in inspected source files.
# "Summary row" = one row for the whole page where detailed field-level proof was not obtainable.
# "Detail row"  = additional row for a specific proven field/card/section.
# All 119 named web routes are listed: 118 static routes plus the conditional /advisory route. All 7 mobile tab screens are listed.
# Refresh frequencies taken from refetchInterval values in source; where not set: UNKNOWN.
# Live vs seeded: production API uses Python backend writing to trading.db / Postgres; no seeded-data path confirmed.
# Fallback/error behavior inferred from source error-handling blocks where visible; otherwise UNKNOWN.
#
Page,UI section/card/table,Displayed field,Frontend component,Frontend variable/property,Hook/query/function,API endpoint,HTTP method,Backend route handler,Service/business logic,Formula/calculation,Repository/data access,Database table/column,External data source,Refresh frequency,Persistence type,Live vs seeded/demo,Fallback behavior,Error behavior,Notes/risks
/market,Summary — page-level,Market overview / indices,MarketOverview,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NSE market data,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/market-scanner,Summary — page-level,Opportunity scan results,MarketScanner,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/market-replay,Summary — page-level,Historical market replay,MarketReplay,—,UNKNOWN,GET /api/market-replay,GET,routes/trading.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/signals,Signals table,"Symbol / Signal type / Confidence / Risk level / Regime / Entry price / Target / Stop",Signals,liveSignals (useGetSignals),useGetSignals (api-client-react),GET /api/signals,GET,routes/trading.ts → runPython([signals]),main.py cmd_signals() → intelligence.get_cached_enriched_signals() or signals_store.load_signals(),UNKNOWN,signals_store.py,"trading.db: signals_cache / signal_snapshots",NSE price feed (live scan),30 s (refetchInterval 30000),SQLite,Live,StaleBanner on stale; empty list on error,toast error; retry button shown,Scan button calls POST /api/run-scan (useRunScan)
/signals,Trade decisions panel,Trade decisions list,Signals (decisions),decisions (useGetTradeDecisions),useGetTradeDecisions (api-client-react),GET /api/ai-decisions,GET,routes/trading.ts,main.py → ai_decision_agent,UNKNOWN,UNKNOWN,UNKNOWN,—,30 s,UNKNOWN,Live,UNKNOWN,UNKNOWN,—
/signals,Entry evaluation panel,Phase 20 entry gate,EntryEvaluationPanel,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Imported Phase20Lifecycle component
/signal-history,Summary — page-level,Historical signal snapshots,SignalHistory,—,UNKNOWN,GET /api/signal-history,GET,"routes/trading.ts → runPython([signal_history, limit, from, to])",UNKNOWN,UNKNOWN,signals_store.py,trading.db: signal_snapshots,—,UNKNOWN,SQLite,Live,UNKNOWN,UNKNOWN,—
/ai-decision,AI decision context card,"Symbol / Decision context / Explanation / Regime",AiDecision,UNKNOWN,"useQuery([/api/phase14/decision-context+symbol])",GET /api/phase14/decision-context/:symbol,GET,routes/phase14.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,On-demand,UNKNOWN,Live,UNKNOWN,UNKNOWN,"Also queries /api/phase15/explain/:symbol and /api/phase13/regime"
/ai-decision,Opportunity scan,Opportunity list,AiDecision,opportunities (useGetOpportunityScan),useGetOpportunityScan,GET /api/opportunity-scan,GET,routes/trading.ts,opportunity_scanner.py,UNKNOWN,UNKNOWN,UNKNOWN,NSE,On-demand,UNKNOWN,Live,UNKNOWN,UNKNOWN,—
/trade-replay,Summary — page-level,Trade replay timeline,TradeReplay,—,UNKNOWN,GET /api/trade-replay,GET,routes/trading.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/trades,Active trades table,"Symbol / Action / Qty / Price / Timestamp",Trades,data (useGetTrades),useGetTrades (api-client-react),GET /api/trades,GET,routes/trading.ts → runPython([trades]),main.py cmd_trades() → canonical_portfolio.canonical_trades(scope=session),UNKNOWN,canonical_portfolio.py,trading.db: phase20_paper_trades,—,30 s (refetchInterval 30000),SQLite / Postgres,Live (paper-trading),UNKNOWN,UNKNOWN,scope=all uses cmd_trades_all()
/trades,All trades table,Full trade history,Trades,allQuery.data,"useQuery([trades-all])",GET /api/trades?scope=all,GET,routes/trading.ts → runPython([trades_all]),main.py cmd_trades_all() → canonical_portfolio.canonical_trades(),UNKNOWN,canonical_portfolio.py,trading.db: phase20_paper_trades,—,30 s,SQLite / Postgres,Live,UNKNOWN,UNKNOWN,—
/watchlist,Watchlist table,Symbol list,Watchlist,data (useGetWatchlist),useGetWatchlist (api-client-react),GET /api/watchlist,GET,routes/trading.ts,main.py → signals_store.load_watchlist() or Postgres signals_store,UNKNOWN,signals_store.py,trading.db / Postgres: watchlist store,—,On-demand,SQLite / Postgres,Live,UNKNOWN,UNKNOWN,"Add/Remove via POST/DELETE /api/watchlist/:symbol; symbol search via GET /api/symbols/search"
/backtest,Summary — page-level,Backtest configuration and results,Backtest,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/backtest.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/validate,Summary — page-level,Validation results,Validate,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/validation.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/strategy-lab,Summary — page-level,Strategy configuration / testing,StrategyLab,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/lab.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/simulation-lab,Summary — page-level,Simulation parameters and output,SimulationLab,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/simulation.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/validation-dashboard,Summary — page-level,Validation dashboard metrics,ValidationDashboard,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/validation.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/optimization-lab,Summary — page-level,Optimization lab,OptimizationLab,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/optimisation.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/optimizer,Summary — page-level,Optimizer settings and results,Optimizer,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/optimisation.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/paper-basket-test,Summary — page-level,Paper basket test,PaperBasketTest,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/trade-intelligence,Summary — page-level,Trade intelligence analysis,TradeIntelligence,—,UNKNOWN,GET /api/trade-intelligence,GET,routes/trading.ts,trade_intelligence.py,UNKNOWN,trade_intelligence.py,trade_intelligence.db: trade_intelligence,—,UNKNOWN,SQLite,Live,UNKNOWN,UNKNOWN,—
/historical-knowledge,Summary — page-level,Historical knowledge base,HistoricalKnowledge,—,UNKNOWN,GET /api/historical-knowledge/summary,GET,routes/trading.ts,historical_knowledge_builder.py,UNKNOWN,historical_knowledge_builder.py,trade_intelligence.db: historical_knowledge_trades,—,UNKNOWN,SQLite,Live,UNKNOWN,UNKNOWN,—
/learning-insights,Summary — page-level,Learning insights metrics,LearningInsights,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/learningLayer.ts,adaptive_learning.py,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/learning-review,Summary — page-level,Learning review results,LearningReview,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/learningLayer.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/pattern-quality,Summary — page-level,Pattern quality metrics,PatternQuality,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/feature-importance,Summary — page-level,Feature importance scores,FeatureImportance,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/analysisAgents.ts,root_cause_engine.py,UNKNOWN,root_cause_engine.py,"trading.db: feature_importance_snapshots / feature_weights",—,UNKNOWN,SQLite,Live,UNKNOWN,UNKNOWN,—
/walk-forward,Summary — page-level,Walk-forward validation,WalkForwardValidation,—,UNKNOWN,POST /api/walk-forward/run,POST,routes/trading.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,On-demand,JSON files,UNKNOWN,UNKNOWN,UNKNOWN,WF results written to JSON files in PYTHON_DIR/validation_runs/
/experiments,Summary — page-level,Experiment manager,ExperimentManager,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/trading.ts (experiments section),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,JSON files,UNKNOWN,UNKNOWN,UNKNOWN,Experiments stored in PYTHON_DIR/experiments/{id}/
/research-intelligence,Summary — page-level,Research intelligence,ResearchIntelligence,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/strategy-evolution,Summary — page-level,Strategy evolution,StrategyEvolution,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/strategy.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/live-data-health,Provider health cards,"Connection status / Data quality / Last successful fetch",LiveDataHealth,ph (fetch /live-data/health-v2),fetch (safeJson wrapper),GET /api/live-data/health-v2,GET,routes/phase239.ts (or phase16),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NSE market data provider,On-demand / manual refresh,In-memory,Live,UNKNOWN,"Error message surfaced via safeJson; toast",useLiveStream hook also imported (SSE)
/live-data-health,Scan audit panel,"data_fetched_before_analysis gate / scan parameters",LiveDataHealth,audit (from safeJson),fetch,GET /api/live-data/diagnostic-bundle,GET,routes/phase239.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,On-demand,UNKNOWN,Live,UNKNOWN,UNKNOWN,—
/live-data-health,Phase 15 system health,System health panel,Phase15SystemHealthPanel,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/phase15.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Imported component; endpoint not confirmed
/live-data-health,Phase 21 validation,Validation panel,Phase21ValidationPanel,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/phase21.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Imported component
/live-data-health,Phase 22 health,Health panel,Phase22HealthPanel,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/phase22.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Imported component
/broker-execution,Connection status card,"Broker status / readiness / kill-switch state",BrokerExecution,status / readiness (fetch),fetch (api wrapper),"GET /api/broker/status + GET /api/broker/readiness",GET,routes/trading.ts (broker section),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Kite / broker API,On-demand / useEffect on mount,In-memory,Live,UNKNOWN,Error object shown inline,loadAll() calls broker/status + readiness + account + audit concurrently
/broker-execution,Account overview,"Margin / Cash / Holdings (masked)",BrokerExecution,account (fetch /broker/account),fetch,GET /api/broker/account,GET,routes/trading.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Kite broker account API,On-demand,In-memory,Live,UNKNOWN,UNKNOWN,—
/broker-execution,Execution audit log,"Order audit entries (up to 50)",BrokerExecution,audit (fetch /broker/audit),fetch,GET /api/broker/audit?limit=50,GET,routes/trading.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,On-demand,UNKNOWN,Live,UNKNOWN,UNKNOWN,—
/broker-execution,Order ticket,"Order preview / two-step confirmation",BrokerExecution,preview (fetch),fetch,"POST /api/broker/order/preview + /confirm1 + /confirm2",POST,routes/trading.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,On-demand,—,Live (assisted),UNKNOWN,Error text shown,Two-step confirmation guards live order placement
/broker-execution,ReconciliationWidget,Reconciliation discrepancies,ReconciliationWidget,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/reconciliation.ts,UNKNOWN,UNKNOWN,reconciliation.py,trading.db: reconciliation_runs,—,UNKNOWN,SQLite,Live,UNKNOWN,UNKNOWN,Imported widget; exact endpoint not confirmed in inspected source
/ai-copilot,Summary — page-level,AI copilot assistant,AiCopilot,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/notifications,Phase 20 notifications table,"Type / Message / Read status / Timestamp",Notifications,notifications (fetch),fetch (raw),GET /api/phase20/notifications?limit=100,GET,routes/notifications.ts or phase239.ts,phase20_store.py,UNKNOWN,phase20_store.py,trading.db: phase20_notifications,—,On-demand / manual,SQLite / Postgres,Live,UNKNOWN,toast error,Also fetches /api/copilot/alerts?limit=200
/notifications,Copilot alerts,Alert entries,Notifications,alerts (fetch),fetch,GET /api/copilot/alerts?limit=200,GET,routes/notifications.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,On-demand,UNKNOWN,Live,UNKNOWN,UNKNOWN,—
/performance-analytics,Summary — page-level,Performance analytics,PerformanceAnalytics,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/performance.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/settings,Summary — page-level,Review package / settings,Settings,—,UNKNOWN,"GET /api/review-package/status + POST /api/review-package/generate",GET / POST,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,On-demand,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/risk,Risk dashboard,"Risk metrics / alerts",RiskManagement,"dashboard + alerts (fetch)",fetch,"GET /api/risk/dashboard + GET /api/risk/alerts",GET,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,On-demand,UNKNOWN,Live,UNKNOWN,UNKNOWN,"Also calls POST /risk/assess and /risk/kill-switch/{action}"
/portfolio-risk,Summary — page-level,Portfolio risk analytics,PortfolioRiskAnalytics,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/phase12,Summary — page-level,Phase 12 intelligence,Phase12Intelligence,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/phase12.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/phase13,Summary — page-level,Phase 13 intelligence / regime,Phase13Intelligence,—,UNKNOWN,GET /api/phase13/regime,GET,routes/phase13.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/learning,Summary — page-level,Learning governance,LearningGovernance,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/learningLayer.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/automation,Summary — page-level,Automation health,AutomationHealth,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/validation,Summary — page-level,Paper trading validation,PaperTradingValidation,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/validation.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/system-validation,Summary — page-level,System validation,SystemValidation,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/research-notebook,Summary — page-level,Research notebook,ResearchNotebook,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/kite-connect,Kite quotes panel,"LTP / OHLCV for queried symbols",KiteConnect,"data (useQuery([kite-quotes]))",useQuery(kite-quotes+symbols),GET /api/kite/quote?symbols=...,GET,routes/kite.ts,kite.py / Kite Connect SDK,UNKNOWN,UNKNOWN,UNKNOWN,Kite Connect (NSE live),On-demand,In-memory,Live,UNKNOWN,UNKNOWN,—
/kite-connect,Holdings panel,Holdings list,KiteConnect,"data (useQuery([kite-holdings]))",useQuery(kite-holdings),GET /api/kite/holdings,GET,routes/kite.ts,Kite Connect SDK,UNKNOWN,UNKNOWN,UNKNOWN,Kite Connect,On-demand,In-memory,Live,UNKNOWN,UNKNOWN,—
/kite-connect,Positions panel,Live positions,KiteConnect,"data (useQuery([kite-positions]))",useQuery(kite-positions),GET /api/kite/positions,GET,routes/kite.ts,Kite Connect SDK,UNKNOWN,UNKNOWN,UNKNOWN,Kite Connect,On-demand,In-memory,Live,UNKNOWN,UNKNOWN,—
/kite-connect,Margins panel,Equity / commodity margins,KiteConnect,"data (useQuery([kite-margins]))",useQuery(kite-margins),GET /api/kite/margins,GET,routes/kite.ts,Kite Connect SDK,UNKNOWN,UNKNOWN,UNKNOWN,Kite Connect,On-demand,In-memory,Live,UNKNOWN,UNKNOWN,—
/kite-connect,Orders panel,Order list,KiteConnect,"data (useQuery([kite-orders]))",useQuery(kite-orders),GET /api/kite/orders,GET,routes/kite.ts,Kite Connect SDK,UNKNOWN,UNKNOWN,UNKNOWN,Kite Connect,On-demand,In-memory,Live,UNKNOWN,UNKNOWN,Login link at /api/kite/login
/operator-status,Summary — page-level,Operator status,OperatorStatus,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/phase4a-session,Summary — page-level,Phase 4A session,Phase4ASession,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/phase4a.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/preopen-intelligence,Summary — page-level,Pre-open intelligence,PreOpenIntelligence,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/preopen.ts,preopen_db.py,UNKNOWN,preopen_db.py,"trading.db: preopen_sessions / preopen_snapshots / preopen_rankings",NSE pre-open data,UNKNOWN,SQLite,Live,UNKNOWN,UNKNOWN,—
/preopen-accuracy,Summary — page-level,Pre-open accuracy validation,PreOpenAccuracy,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/preopen-validation.ts,preopen_validation_db.py,UNKNOWN,preopen_validation_db.py,"trading.db: preopen_validation_sessions / preopen_candidate_outcomes / preopen_score_band_metrics",—,UNKNOWN,SQLite,Live,UNKNOWN,UNKNOWN,—
