record_type,strategy_id,name,base_strategy,parent_id,version,status,change_summary,mutation_parameter,mutation_from,mutation_to,expected_benefit,observed_benefit,observed_drawback,profit_factor,sharpe,net_return_pct,max_drawdown_pct,trades,evidence,robustness_score,winner,confidence,recommendation,context,expectancy_rs,win_rate,experiment_ids,created_at,notes
lesson_works_well,,Mean Reversion,,,,,,,,,,,,,,,,22,WEAK,,,,,Market regime: Bearish,1.66,68.2,0a655cee0ae9;1e3806416eb2;c3a16676dc3b;c3b29a0fe086,,
lesson_works_well,,Mean Reversion,,,,,,,,,,,,,,,,111,STRONG,,,,,Sector: IT,0.61,59.5,0a655cee0ae9;c3a16676dc3b;c3b29a0fe086,,
lesson_fails,,Mean Reversion,,,,,,,,,,,,,,,,33,MODERATE,,,,,Market regime: Neutral-Bearish,-2.34,45.5,0a655cee0ae9;c3a16676dc3b;c3b29a0fe086,,
lesson_fails,,Mean Reversion,,,,,,,,,,,,,,,,33,MODERATE,,,,,Market regime: Bullish,-1.74,54.5,0a655cee0ae9;c3a16676dc3b;c3b29a0fe086,,
lesson_works_well,,MACD Cross,,,,,,,,,,,,,,,,15,WEAK,,,,,Market regime: Neutral-Bullish,7.21,40.0,0a655cee0ae9;c3a16676dc3b;c3b29a0fe086,,
lesson_fails,,MACD Cross,,,,,,,,,,,,,,,,3,INSUFFICIENT,,,,,Sector: FMCG,-31.61,0.0,0a655cee0ae9;c3a16676dc3b;c3b29a0fe086,,
lesson_fails,,MACD Cross,,,,,,,,,,,,,,,,13,WEAK,,,,,Market regime: Bullish,-26.59,0.0,0a655cee0ae9;95a7ff31918c;c3a16676dc3b;c3b29a0fe086,,
lesson_fails,,MACD Cross,,,,,,,,,,,,,,,,13,WEAK,,,,,Market regime: Bearish,-16.52,23.1,0a655cee0ae9;95a7ff31918c;c3a16676dc3b;c3b29a0fe086,,
lesson_fails,,MACD Cross,,,,,,,,,,,,,,,,8,INSUFFICIENT,,,,,Sector: FINANCE,-11.38,12.5,0a655cee0ae9;95a7ff31918c;c3a16676dc3b;c3b29a0fe086,,
lesson_fails,,MACD Cross,,,,,,,,,,,,,,,,36,MODERATE,,,,,Sector: BANKING,-8.71,25.0,0a655cee0ae9;c3a16676dc3b;c3b29a0fe086,,
lesson_fails,,MACD Cross,,,,,,,,,,,,,,,,28,WEAK,,,,,Market regime: Neutral-Bearish,-4.57,25.0,0a655cee0ae9;95a7ff31918c;c3a16676dc3b;c3b29a0fe086,,
lesson_fails,,MACD Cross,,,,,,,,,,,,,,,,18,WEAK,,,,,Sector: ENERGY,-0.7,33.3,0a655cee0ae9;c3a16676dc3b;c3b29a0fe086,,
lesson_works_well,,Trend Rider,,,,,,,,,,,,,,,,15,WEAK,,,,,Market regime: Bullish,9.27,46.7,0a655cee0ae9;1e3806416eb2;95a7ff31918c;c3a16676dc3b;c3b29a0fe086,,
lesson_works_well,,Trend Rider,,,,,,,,,,,,,,,,4,INSUFFICIENT,,,,,Sector: METALS,5.87,50.0,1e3806416eb2,,
lesson_works_well,,Trend Rider,,,,,,,,,,,,,,,,12,WEAK,,,,,Market regime: Bearish,2.47,41.7,1e3806416eb2;95a7ff31918c,,
lesson_fails,,Trend Rider,,,,,,,,,,,,,,,,15,WEAK,,,,,Market regime: Neutral-Bullish,-23.29,13.3,0a655cee0ae9;1e3806416eb2;95a7ff31918c;c3a16676dc3b;c3b29a0fe086,,
lesson_fails,,Trend Rider,,,,,,,,,,,,,,,,4,INSUFFICIENT,,,,,Market regime: Neutral-Bearish,-22.57,25.0,1e3806416eb2;95a7ff31918c,,
lesson_fails,,Trend Rider,,,,,,,,,,,,,,,,3,INSUFFICIENT,,,,,Sector: INFRA,-17.24,0.0,0a655cee0ae9;c3a16676dc3b;c3b29a0fe086,,
lesson_fails,,Trend Rider,,,,,,,,,,,,,,,,9,INSUFFICIENT,,,,,Sector: FINANCE,-12.23,33.3,95a7ff31918c,,
lesson_fails,,Trend Rider,,,,,,,,,,,,,,,,29,WEAK,,,,,Sector: ENERGY,-4.8,31.0,0a655cee0ae9;1e3806416eb2;95a7ff31918c;c3a16676dc3b;c3b29a0fe086,,
